Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account_0,Securities Account_1,CD Account_0,CD Account_1,Online_0,Online_1,CreditCard_0,CreditCard_1,Personal Loan
0.0,0.083381608939051,0.17379767721105485,0.1639128073838847,0.6931471805599453,0.1484200051182734,0.0,0.0,0,1,1,0,1,0,1,0,0
0.4054651081081644,0.3908663086870116,0.11365931847252128,0.07042246429654579,0.5108256237659907,0.13976194237515863,0.0,0.0,0,1,1,0,1,0,1,0,0
0.22314355131420976,0.3302416868705768,0.01379332213233577,0.5808480080411969,0.0,0.09531017980432493,0.0,0.0,1,0,1,0,1,0,1,0,0
0.22314355131420976,0.23180161405732438,0.3548213752894094,0.4943821550408746,0.0,0.23901690047049992,0.4054651081081644,0.0,1,0,1,0,1,0,1,0,0
0.22314355131420976,0.2144098713454551,0.15811108104335522,0.18731621576804516,0.6931471805599453,0.09531017980432493,0.4054651081081644,0.0,1,0,1,0,1,0,0,1,0
0.22314355131420976,0.29849298855599654,0.09278173345096627,0.29516473697445267,0.6931471805599453,0.03922071315328133,0.4054651081081644,0.21840794656837553,1,0,1,0,0,1,1,0,0
0.5596157879354227,0.502091943797236,0.2595111954850846,0.22056512272626536,0.28768207245178085,0.13976194237515863,0.4054651081081644,0.0,1,0,1,0,0,1,1,0,0
0.5596157879354227,0.4618180446592961,0.06280090123903044,0.45296006776100556,0.0,0.02955880224154443,0.6931471805599453,0.0,1,0,1,0,1,0,0,1,0
0.22314355131420976,0.24889604741662438,0.2911482804282672,0.07042246429654579,0.5108256237659907,0.058268908123975824,0.4054651081081644,0.15167292205551003,1,0,1,0,0,1,1,0,0
0.22314355131420976,0.23180161405732438,0.5857269319391084,0.40832225290894414,0.0,0.6365768290715511,0.6931471805599453,0.0,1,0,1,0,1,0,1,0,1
0.6931471805599453,0.6486954179891115,0.3709247828559881,0.5796468066955628,0.6931471805599453,0.2151113796169455,0.6931471805599453,0.0,1,0,1,0,1,0,1,0,0
0.0,0.16034265007517928,0.15811108104335522,0.0960902110451236,0.5108256237659907,0.009950330853168092,0.4054651081081644,0.0,1,0,1,0,0,1,1,0,0
0.4054651081081644,0.44802472252696024,0.39927313786024327,0.4168450317709268,0.28768207245178085,0.3220834991691132,0.6931471805599453,0.0,0,1,1,0,1,0,1,0,0
0.5596157879354227,0.5658077581833436,0.13815033848081718,0.5880250723415602,0.6931471805599453,0.22314355131420976,0.4054651081081644,0.0,1,0,1,0,0,1,1,0,0
0.6931471805599453,0.67116827384117,0.3930425881096072,0.22400155222484658,0.0,0.1823215567939546,0.0,0.0,0,1,1,0,1,0,1,0,0
0.6931471805599453,0.5408064559779265,0.06280090123903044,0.6162290569577821,0.0,0.13976194237515863,0.6931471805599453,0.0,1,0,1,0,0,1,0,1,0
0.22314355131420976,0.3144933299024377,0.44776748779885384,0.6034008927036699,0.6931471805599453,0.3852624007906449,0.6931471805599453,0.19146597061295234,1,0,1,0,1,0,1,0,1
0.4054651081081644,0.3760512229018711,0.2911482804282672,0.5176691064196651,0.6931471805599453,0.2151113796169455,0.0,0.0,1,0,1,0,1,0,1,0,0
0.4054651081081644,0.41985384556026406,0.6186830196224041,0.21018440667170452,0.28768207245178085,0.5933268452777344,0.6931471805599453,0.0,1,0,1,0,1,0,1,0,1
0.5596157879354227,0.5151640253645888,0.05844359587007458,0.5808480080411969,0.0,0.04879016416943205,0.4054651081081644,0.0,0,1,1,0,1,0,0,1,0
0.5596157879354227,0.5533852381847866,0.07576004588153558,0.4611122868225559,0.6931471805599453,0.08617769624105241,0.4054651081081644,0.16110060131106915,1,0,1,0,0,1,1,0,0
0.5596157879354227,0.502091943797236,0.22684041319553583,0.072420466959219,0.5108256237659907,0.1823215567939546,0.6931471805599453,0.0,1,0,1,0,0,1,1,0,0
0.0,0.16034265007517928,0.22314355131420976,0.0960902110451236,0.0,0.11332868530700327,0.0,0.3431987193821637,1,0,1,0,0,1,1,0,0
0.4054651081081644,0.3760512229018711,0.15017453144761883,0.1837511496035491,0.28768207245178085,0.06765864847381486,0.0,0.22848359855711703,0,1,1,0,1,0,1,0,0
0.22314355131420976,0.2657031657330057,0.5108256237659907,0.6515201410478683,0.28768207245178085,0.32930374714260047,0.0,0.22345846235444403,1,0,1,0,1,0,0,1,0
0.4054651081081644,0.3908663086870116,0.09278173345096627,0.5176691064196651,0.5108256237659907,0.04879016416943205,0.0,0.14215551506861995,1,0,1,0,0,1,1,0,0
0.4054651081081644,0.34574587340654217,0.29804485948732756,0.6185438728062334,0.6931471805599453,0.01980262729617973,0.6931471805599453,0.0,1,0,1,0,1,0,1,0,0
0.4054651081081644,0.4054651081081644,0.5273549257172012,0.05632353991704418,0.0,0.2151113796169455,0.0,0.0,1,0,1,0,0,1,0,1,0
0.5596157879354227,0.5408064559779265,0.16989903679539742,0.5354135517187371,0.0,0.19885085874516517,0.6931471805599453,0.0,1,0,1,0,0,1,0,1,0
0.22314355131420976,0.29849298855599654,0.41468176321308836,0.4851776193118029,0.0,0.28517894223366247,0.4054651081081644,0.0,1,0,0,1,0,1,0,1,1
0.5596157879354227,0.6021754023542185,0.11778303565638346,0.4168450317709268,0.0,0.11332868530700327,0.6931471805599453,0.1757382545447571,1,0,1,0,0,1,1,0,0
0.4054651081081644,0.34574587340654217,0.09278173345096627,0.4996040990220263,0.0,0.1823215567939546,0.4054651081081644,0.0,1,0,1,0,0,1,1,0,0
0.5596157879354227,0.5151640253645888,0.14217448878054254,0.5820477682331009,0.28768207245178085,0.058268908123975824,0.6931471805599453,0.26538815549256806,1,0,1,0,1,0,1,0,0
0.22314355131420976,0.1786917887433759,0.04525659158812086,0.18731621576804516,0.5108256237659907,0.08617769624105241,0.6931471805599453,0.0,1,0,1,0,1,0,1,0,0
0.22314355131420976,0.16034265007517928,0.17768117723745241,0.46919858425391364,0.6931471805599453,0.16551443847757333,0.6931471805599453,0.0,1,0,1,0,0,1,1,0,0
